% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: May, 2016
% 
@RELATION SCIAA
@ATTRIBUTE VerticalProjectionVariance  	NUMERIC
@ATTRIBUTE MajorHorizontalProjectionDifference   	NUMERIC
@ATTRIBUTE MajorVerticalEdge  	NUMERIC
@ATTRIBUTE pixelDistribution   NUMERIC
@ATTRIBUTE VerticalEdge   NUMERIC
@ATTRIBUTE Density   NUMERIC
@ATTRIBUTE DeviationWidth   NUMERIC
@ATTRIBUTE DeviationHeight   NUMERIC
@ATTRIBUTE DeviationArea   NUMERIC
@ATTRIBUTE class        {Printed, Handwritten}
@DATA
9416532.63,6120,150.99,9.11,44.42,97.86,375.15,2.49,31271.86,Handwritten
24171568.49,16320,215.26,19.62,31.69,77.89,279.15,1.49,23783.86,Handwritten
15894822.61,27540,205.84,1.52,34.36,72.96,11.15,4.51,387.86,Handwritten
21395498.60,10200,222.21,23.80,46.60,96.54,327.15,8.49,28487.86,Handwritten
14276774.22,13260,163.46,3.39,43.07,91.42,243.15,0.49,20783.86,Handwritten
19064878.21,10200,213.65,1.94,37.40,84.82,315.15,4.49,27023.86,Handwritten
10885791.41,14280,211.29,14.12,46.67,91.58,211.15,8.49,20367.86,Handwritten
24159759.99,11220,229.50,27.86,36.01,88.49,307.15,8.49,27087.86,Handwritten
16811802.34,26520,193.67,14.39,37.18,79.02,244.85,0.51,17996.14,Handwritten
13774666.03,18360,224.40,5.28,44.04,87.03,243.15,3.49,21467.86,Handwritten
43871119.71,8160,242.09,8.63,34.01,124.08,299.15,0.51,24979.86,Handwritten
11774741.69,5100,165.00,15.58,46.00,104.00,411.15,10.49,34487.86,Handwritten
18805949.91,181560,210.65,46.42,26.08,62.35,628.85,13.51,62632.14,Handwritten
24891596.50,112200,245.78,10.26,29.45,60.71,212.85,4.51,18204.14,Handwritten
20190384.85,117300,217.68,1.14,32.93,71.93,512.85,3.51,42120.14,Handwritten
12646483.18,17340,188.89,16.19,41.10,92.29,255.15,2.51,21071.86,Handwritten
7887473.84,12240,156.40,1.82,38.53,84.07,339.15,3.49,28667.86,Handwritten
20262314.25,17340,200.13,3.33,40.86,94.35,175.15,0.51,15183.86,Handwritten
17633745.98,99960,185.74,10.65,27.08,60.80,444.85,2.51,35628.14,Handwritten
25008474.72,18360,174.86,3.49,32.27,72.11,8.85,26.51,11832.14,Handwritten
17347878.40,24480,202.34,9.23,37.24,78.78,136.85,13.51,17368.14,Handwritten
19627850.78,12240,206.29,11.41,42.25,90.08,243.15,10.51,18275.86,Handwritten
21904881.20,6120,170.85,1.65,44.09,99.70,347.15,21.51,26167.86,Handwritten
10762281.52,47940,179.44,23.11,30.54,56.84,108.85,2.51,8412.14,Handwritten
