% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: September, 2016
% 
@RELATION SCIAA
@ATTRIBUTE Area  	NUMERIC
@ATTRIBUTE MajorAxisLength   	NUMERIC
@ATTRIBUTE MinorAxisLength  	NUMERIC
@ATTRIBUTE Eccentricity   NUMERIC
@ATTRIBUTE Orientation   NUMERIC
@ATTRIBUTE ConvexArea   NUMERIC
@ATTRIBUTE FilledArea   NUMERIC
@ATTRIBUTE EquivDiameter   NUMERIC
@ATTRIBUTE Solidity   NUMERIC
@ATTRIBUTE Extent   NUMERIC
@ATTRIBUTE Perimeter   NUMERIC
@ATTRIBUTE class        {'Text', 'Noise'}
@DATA
1304.00,57.8456,49.6543,0.5130,-52.0979,1968,1304,0.5670,0.6626,40.7468,265.5180,'Text'
1212.00,72.9859,35.7886,0.8715,-86.6413,2104,1212,0.4443,0.5760,39.2832,236.8540,'Text'
3528.00,118.1718,63.8142,0.8417,33.4583,5549,3528,0.4137,0.6358,67.0223,606.4260,'Text'
1316.00,57.5599,47.6536,0.5609,-49.2685,1913,1316,0.5982,0.6879,40.9339,261.8130,'Text'
1488.00,77.3011,44.7592,0.8153,-88.3293,2546,1488,0.5167,0.5844,43.5268,290.6920,'Text'
1372.00,51.3825,46.2777,0.4345,-84.1860,1810,1480,0.6214,0.7580,41.7957,220.1320,'Text'
1296.00,56.2181,49.2017,0.4838,-50.7914,1919,1296,0.5891,0.6754,40.6217,253.1460,'Text'
1216.00,89.1906,34.4263,0.9225,-84.9950,2443,1216,0.4454,0.4977,39.3479,247.0510,'Text'
1076.00,58.8794,38.8002,0.7522,76.3577,1783,1076,0.5095,0.6035,37.0136,207.7600,'Text'
1084.00,54.9334,46.3347,0.5372,-78.7374,1648,1084,0.5599,0.6578,37.1509,220.5620,'Text'
1296.00,53.7324,42.6531,0.6082,82.0932,1684,1380,0.6708,0.7696,40.6217,227.3600,'Text'
1208.00,76.2816,35.4508,0.8854,-85.7479,2087,1208,0.4639,0.5788,39.2183,240.1620,'Text'
800.00,66.7012,17.0552,0.9668,70.4251,1041,800,0.4598,0.7685,31.9154,156.4030,'Text'
1012.00,96.6678,14.3023,0.9890,64.8961,1251,1012,0.3089,0.8090,35.8959,204.4520,'Text'
24.00,13.8564,2.3094,0.9860,0.0000,24,24,1.0000,1.0000,5.5279,23.1560,'Noise'
1940.00,67.7083,62.5053,0.3844,-81.2931,3173,1940,0.5973,0.6114,49.6999,377.7260,'Text'
8.00,4.6188,2.3094,0.8660,0.0000,8,8,1.0000,1.0000,3.1915,7.4760,'Noise'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
1616.00,74.5686,42.4010,0.8226,76.7162,2392,1784,0.5855,0.6756,45.3603,248.6140,'Text'
12.00,6.9282,2.3094,0.9428,0.0000,12,12,1.0000,1.0000,3.9088,11.3960,'Noise'
1414.00,85.4116,46.2986,0.8403,-85.4745,2702,1414,0.4532,0.5233,42.4307,304.5940,'Text'
1464.00,69.0136,45.6878,0.7495,75.4737,2206,1772,0.5304,0.6636,43.1743,208.8020,'Text'
1156.00,51.7256,49.3160,0.3017,59.1098,1612,1576,0.6255,0.7171,38.3649,148.5630,'Text'
1080.00,63.9785,36.8745,0.8172,-81.1653,1713,1080,0.5263,0.6305,37.0823,212.5070,'Text'
8.00,4.6188,2.3094,0.8660,0.0000,8,8,1.0000,1.0000,3.1915,7.4760,'Noise'
1500.00,69.7277,44.4092,0.7710,79.2970,2136,1796,0.5499,0.7022,43.7019,207.7600,'Text'
1368.00,53.0692,46.7205,0.4743,-79.8940,1799,1480,0.6196,0.7604,41.7348,224.8790,'Text'
1068.00,57.4081,45.3719,0.6127,-81.5964,1665,1068,0.5528,0.6414,36.8757,222.6130,'Text'
1112.00,63.4333,36.5587,0.8172,-79.4138,1769,1112,0.5148,0.6286,37.6277,207.9750,'Text'
1084.00,66.0168,36.4363,0.8339,-78.9698,1819,1084,0.4672,0.5959,37.1509,214.1610,'Text'
1300.00,52.9436,43.7979,0.5618,83.7407,1681,1560,0.7065,0.7733,40.6843,170.4290,'Text'
1328.00,50.2193,45.8221,0.4092,-83.8892,1723,1416,0.6561,0.7707,41.1201,211.6800,'Text'
1124.00,73.5100,35.2127,0.8778,-85.7388,1992,1124,0.4316,0.5643,37.8302,232.9340,'Text'
1200.00,86.4464,33.3523,0.9226,-89.0627,2288,1200,0.5093,0.5245,39.0882,233.3640,'Text'
1188.00,67.8329,31.6338,0.8846,50.3062,1746,1236,0.4967,0.6804,38.8923,210.8530,'Text'
196.00,113.1607,2.3094,0.9998,0.0000,196,196,1.0000,1.0000,15.7973,191.7160,'Noise'
12.00,6.9282,2.3094,0.9428,0.0000,12,12,1.0000,1.0000,3.9088,11.3960,'Noise'
36.00,20.7846,2.3094,0.9938,0.0000,36,36,1.0000,1.0000,6.7703,34.9160,'Noise'
52.00,30.0222,2.3094,0.9970,0.0000,52,52,1.0000,1.0000,8.1369,50.5960,'Noise'
12.00,6.9282,2.3094,0.9428,0.0000,12,12,1.0000,1.0000,3.9088,11.3960,'Noise'
16.00,9.2376,2.3094,0.9682,0.0000,16,16,1.0000,1.0000,4.5135,15.3160,'Noise'
1260.00,73.9647,41.8942,0.8241,74.0226,2113,1260,0.4375,0.5963,40.0535,262.2100,'Text'
920.00,45.4038,28.0349,0.7866,67.9955,1016,956,0.6970,0.9055,34.2254,124.2160,'Text'
1208.00,55.3317,46.9240,0.5299,-36.8599,1759,1208,0.5992,0.6868,39.2183,232.1070,'Text'
3084.00,113.0916,81.2384,0.6957,6.9318,6046,3084,0.4603,0.5101,62.6632,623.5780,'Text'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
1096.00,63.0956,36.7229,0.8132,-82.3162,1760,1096,0.5150,0.6227,37.3560,211.8950,'Text'
3452.00,111.3788,73.9068,0.7481,-2.4868,5623,3452,0.5800,0.6139,66.2965,660.5450,'Text'
1156.00,57.5197,44.1358,0.6413,27.9970,1715,1156,0.5255,0.6741,38.3649,223.2250,'Text'
1552.00,69.5789,55.9312,0.5948,85.0258,2421,2312,0.5389,0.6411,44.4530,188.3750,'Text'
1304.00,50.9272,47.1028,0.3802,-65.5889,1722,1396,0.6163,0.7573,40.7468,217.0390,'Text'
1064.00,59.2116,38.7207,0.7565,76.8264,1738,1064,0.5507,0.6122,36.8066,206.1060,'Text'
1372.00,50.6003,46.3801,0.3998,-78.5457,1759,1464,0.6779,0.7800,41.7957,218.9080,'Text'
1272.00,78.9537,35.0510,0.8961,81.1296,2208,1272,0.4969,0.5761,40.2438,265.1210,'Text'
