% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: September, 2016
% 
@RELATION SCIAA
@ATTRIBUTE Area  	NUMERIC
@ATTRIBUTE MajorAxisLength   	NUMERIC
@ATTRIBUTE MinorAxisLength  	NUMERIC
@ATTRIBUTE Eccentricity   NUMERIC
@ATTRIBUTE Orientation   NUMERIC
@ATTRIBUTE ConvexArea   NUMERIC
@ATTRIBUTE FilledArea   NUMERIC
@ATTRIBUTE EquivDiameter   NUMERIC
@ATTRIBUTE Solidity   NUMERIC
@ATTRIBUTE Extent   NUMERIC
@ATTRIBUTE Perimeter   NUMERIC
@ATTRIBUTE class        {'Text', 'Noise'}
@DATA
1208.00,50.0392,44.7559,0.4472,86.2773,1582,1316,0.7190,0.7636,39.2183,216.4270,'Text'
12.00,6.9282,2.3094,0.9428,0.0000,12,12,1.0000,1.0000,3.9088,11.3960,'Noise'
1240.00,80.1744,34.4542,0.9030,81.7754,2156,1240,0.5000,0.5751,39.7343,266.7750,'Text'
32.00,18.4752,2.3094,0.9922,0.0000,32,32,1.0000,1.0000,6.3831,30.9960,'Noise'
12.00,6.9282,2.3094,0.9428,0.0000,12,12,1.0000,1.0000,3.9088,11.3960,'Noise'
52.00,30.0222,2.3094,0.9970,0.0000,52,52,1.0000,1.0000,8.1369,50.5960,'Noise'
236.00,18.5455,16.6207,0.4436,31.6340,255,236,0.7284,0.9255,17.3345,58.8330,'Text'
204.00,18.3329,14.7320,0.5952,13.2560,218,204,0.8095,0.9358,16.1165,54.3010,'Text'
2196.00,90.8859,64.2099,0.7077,58.9717,4216,2196,0.4159,0.5209,52.8775,390.3130,'Text'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
44.00,25.4034,2.3094,0.9959,0.0000,44,44,1.0000,1.0000,7.4848,42.7560,'Noise'
1448.00,74.0457,45.0739,0.7934,-63.0038,2389,1448,0.4671,0.6061,42.9378,308.6380,'Text'
1456.00,70.0161,46.0276,0.7536,76.9336,2209,1808,0.5105,0.6591,43.0562,218.4780,'Text'
1368.00,77.3829,45.0381,0.8132,-89.1796,2448,1368,0.4914,0.5588,41.7348,286.1600,'Text'
16.00,9.2376,2.3094,0.9682,0.0000,16,16,1.0000,1.0000,4.5135,15.3160,'Noise'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
968.00,58.8196,36.8018,0.7801,-74.3410,1604,968,0.4783,0.6035,35.1069,196.4300,'Text'
1284.00,80.6421,35.7927,0.8961,79.4457,2308,1284,0.4931,0.5563,40.4331,282.8520,'Text'
5144.00,163.5124,70.9665,0.9009,5.2717,8289,5840,0.5531,0.6206,80.9293,805.7340,'Text'
24.00,13.8564,2.3094,0.9860,0.0000,24,24,1.0000,1.0000,5.5279,23.1560,'Noise'
1012.00,54.4624,45.8263,0.5404,-86.1049,1605,1012,0.5238,0.6305,35.8959,224.6640,'Text'
1216.00,50.2301,47.6498,0.3164,-79.9821,1673,1364,0.6281,0.7268,39.3479,214.7730,'Text'
4828.00,167.6104,66.4406,0.9181,-3.6095,8503,5080,0.5123,0.5678,78.4041,875.4340,'Text'
1296.00,57.1080,49.1162,0.5102,-53.9974,1932,1296,0.5891,0.6708,40.6217,263.4670,'Text'
1076.00,61.1588,39.6400,0.7615,75.6639,1808,1076,0.5085,0.5951,37.0136,214.1610,'Text'
1304.00,53.8899,44.5072,0.5638,82.4902,1750,1396,0.6749,0.7451,40.7468,227.9720,'Text'
948.00,55.7447,44.7735,0.5957,-89.9822,1600,948,0.4907,0.5925,34.7424,222.3980,'Text'
1076.00,84.4357,34.0244,0.9152,-82.8120,2186,1076,0.3821,0.4922,37.0136,227.7900,'Text'
1632.00,70.9731,46.8417,0.7513,-87.9352,2498,1972,0.5722,0.6533,45.5843,250.4500,'Text'
912.00,58.9940,36.6160,0.7841,-68.7087,1536,912,0.4720,0.5938,34.0763,194.9910,'Text'
992.00,64.1846,36.9201,0.8180,-78.2524,1714,992,0.4769,0.5788,35.5395,212.1100,'Text'
1016.00,63.7587,36.1224,0.8240,-77.8923,1708,1016,0.4704,0.5948,35.9668,210.2410,'Text'
968.00,53.0210,46.5062,0.4803,87.6122,1536,968,0.5488,0.6302,35.1069,219.5200,'Text'
1320.00,79.2157,35.3915,0.8946,80.3762,2305,1320,0.5069,0.5727,40.9961,269.6530,'Text'
936.00,90.6462,26.8549,0.9551,-88.8733,1725,936,0.4286,0.5426,34.5218,207.5450,'Text'
228.00,19.4602,15.1687,0.6264,7.7181,233,228,0.9048,0.9785,17.0382,54.3010,'Text'
24.00,13.8564,2.3094,0.9860,0.0000,24,24,1.0000,1.0000,5.5279,23.1560,'Noise'
1888.00,75.2533,42.8958,0.8216,38.7656,2411,2104,0.5463,0.7831,49.0293,221.3560,'Text'
24.00,13.8564,2.3094,0.9860,0.0000,24,24,1.0000,1.0000,5.5279,23.1560,'Noise'
196.00,17.0392,15.1724,0.4551,17.9371,204,196,0.8750,0.9608,15.7973,51.2080,'Text'
16.00,9.2376,2.3094,0.9682,0.0000,16,16,1.0000,1.0000,4.5135,15.3160,'Noise'
12.00,6.9282,2.3094,0.9428,0.0000,12,12,1.0000,1.0000,3.9088,11.3960,'Noise'
40.00,23.0940,2.3094,0.9950,0.0000,40,40,1.0000,1.0000,7.1365,38.8360,'Noise'
40.00,23.0940,2.3094,0.9950,0.0000,40,40,1.0000,1.0000,7.1365,38.8360,'Noise'
36.00,20.7846,2.3094,0.9938,0.0000,36,36,1.0000,1.0000,6.7703,34.9160,'Noise'
32.00,18.4752,2.3094,0.9922,0.0000,32,32,1.0000,1.0000,6.3831,30.9960,'Noise'
12.00,6.9282,2.3094,0.9428,0.0000,12,12,1.0000,1.0000,3.9088,11.3960,'Noise'
1116.00,50.2758,46.6492,0.3729,-54.7484,1566,1116,0.4666,0.7126,37.6953,225.2760,'Text'
60.00,34.6410,2.3094,0.9978,0.0000,60,60,1.0000,1.0000,8.7404,58.4360,'Noise'
1668.00,77.6103,50.1659,0.7630,-89.2652,2878,1668,0.5381,0.5796,46.0843,355.2480,'Text'
